d,w
94,42
94,27
94,133
94,97
94,182
94,84
94,90
94,248
94,70
94,249
94,45
94,46
94,117
94,51
94,69
94,95
94,163
94,23
94,26
94,25
94,234
94,72
94,64
94,287
94,73
94,76
94,78
94,81
94,96
94,114
94,55
94,98
94,20
94,19
94,34
94,246
94,44
95,52
95,53
95,50
95,118
95,48
95,38
95,184
95,183
95,63
95,58
95,49
95,19
95,54
95,25
95,33
95,34
95,276
95,114
95,55
95,26
95,119
95,120
95,253
95,278
95,279
95,199
95,41
95,98
95,147
95,254
95,191
95,121
95,21
96,15
96,18
96,44
96,114
96,41
96,34
96,98
96,21
96,16
96,19
96,35
96,45
96,46
96,51
96,151
96,284
96,285
96,286
96,42
96,117
97,82
97,80
97,83
97,85
97,87
97,88
97,89
97,91
97,136
97,73
97,76
97,122
97,191
97,77
97,45
97,273
97,64
97,81
97,90
97,84
97,86
97,92
97,96
97,3
97,234
97,94
97,95
97,97
97,2
97,93
97,6
97,5
97,146
97,4
97,1
97,215
97,129
97,65
97,72
97,78
97,157
97,160
98,45
98,46
98,51
98,54
98,35
98,49
98,98
98,50
98,52
98,53
98,7
98,55
98,15
98,42
98,68
98,9
98,8
98,24
98,69
98,21
98,17
98,16
98,44
98,11
99,98
99,24
99,21
99,20
99,28
99,14
99,132
99,131
99,161
99,33
99,19
99,18
99,26
99,25
99,114
99,225
99,29
99,38
99,153
99,27
99,42
100,128
100,75
100,70
100,207
100,44
100,79
100,52
100,151
100,273
100,5
100,157
100,50
100,49
100,55
100,16
100,4
100,115
100,3
100,33
100,200
100,17
100,26
100,14
100,100
100,24
100,53
100,208
100,54
100,114
100,69
100,15
100,18
100,19
100,145
100,20
100,21
100,22
100,68
100,163
100,255
100,217
100,42
100,25
100,39
100,34
100,133
100,98
100,27
101,42
101,45
101,46
101,32
101,117
101,284
101,114
101,98
101,24
101,20
101,19
101,18
101,285
101,286
101,33
101,51
101,14
101,133
101,30
101,63
101,25
101,22
101,21
101,16
101,34
101,31
102,32
102,31
102,19
102,21
102,23
102,24
102,98
102,55
102,30
102,34
102,44
102,42
103,141
103,127
103,294
103,192
103,126
103,98
103,34
103,26
103,25
103,18
103,19
103,20
103,21
103,22
103,69
103,71
103,55
103,207
103,202
103,203
103,120
103,121
103,108
103,109
103,135
103,17
103,292
103,38
103,49
103,52
103,270
103,122
103,79
103,208
103,16
103,205
103,15
103,212
103,211
103,125
103,293
103,114
103,134
103,14
103,50
104,75
104,15
104,70
104,32
104,31
104,30
104,22
104,21
104,18
104,17
104,16
104,38
104,19
104,34
105,32
105,51
105,55
105,114
105,123
105,30
105,14
105,16
105,31
105,246
105,47
105,45
105,33
105,19
105,20
105,21
105,22
105,100
105,34
105,69
105,24
105,25
105,26
105,18
105,46
106,34
106,42
106,280
106,32
106,124
106,31
106,24
106,114
106,2
106,3
106,4
106,5
106,6
106,161
106,30
106,186
106,156
106,14
106,16
106,18
106,19
106,20
106,21
106,98
106,132
107,41
107,55
107,35
107,16
107,17
107,30
107,124
107,32
107,34
107,44
107,18
107,19
107,22
107,21
107,31
108,54
108,125
108,42
108,101
108,114
108,25
108,26
108,98
108,19
108,18
108,51
108,46
108,45
108,134
108,33
109,45
109,16
109,100
109,124
109,51
109,46
109,227
109,159
109,34
109,120
109,123
109,26
109,25
109,44
109,19
109,22
109,17
109,21
109,69
109,24
109,74
109,145
109,47
109,18
109,98
110,33
110,178
110,49
110,114
110,185
110,48
110,50
110,14
110,98
110,24
110,20
110,184
110,183
110,34
110,52
110,42
110,156
110,53
111,159
111,53
111,52
111,50
111,49
111,23
111,35
111,206
111,51
111,46
111,45
111,254
111,253
111,154
111,143
111,140
111,14
111,16
111,19
111,120
111,41
111,42
111,34
111,33
111,18
111,55
111,204
111,98
111,70
111,21
111,22
111,280
112,98
112,24
112,23
112,55
112,133
112,248
112,34
112,51
112,46
112,45
112,33
112,249
112,20
112,14
112,70
112,53
112,52
112,50
112,49
112,42
112,250
113,4
113,5
113,6
113,113
113,161
113,2
113,42
113,55
113,98
113,24
113,21
113,20
113,14
113,3
113,54
113,35
113,16
113,49
113,50
113,52
113,53
113,63
113,132
113,48
113,131
114,73
114,221
114,69
114,22
114,21
114,19
114,18
114,16
114,15
114,54
114,17
114,44
114,97
114,94
114,84
114,80
114,100
114,96
114,77
114,76
114,23
114,20
114,210
114,95
114,64
114,287
114,98
114,51
114,46
114,45
114,55
115,27
115,26
115,25
115,98
115,163
115,69
115,209
115,70
115,248
115,68
115,14
115,61
115,60
115,11
115,10
115,44
115,59
115,102
115,103
115,202
115,20
115,139
115,137
115,109
115,94
115,95
115,182
